1,1,0,3,2
1,1,0,3,4
1,1,0,1,1
1,1,0,1,5
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,1,1
1,1,0,1,5
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,1,1
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,1,1
1,1,0,1,3
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
2,2,7,2,3
2,2,7,4,1
1,2,8,2,5
1,2,8,3,1
1,1,7,2,1
1,1,7,2,3
1,2,7,2,4
1,2,7,3,1
1,1,0,0,0
1,1,0,0,1
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,0,3
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,0,3
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,0,3
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,0,0
1,1,0,0,1
1,1,0,0,3
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,1
1,1,0,2,3
1,1,0,3,2
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,4,5
1,1,0,0,0
1,1,0,0,1
1,1,0,0,3
1,1,0,1,1
1,1,0,1,3
1,1,0,1,4
1,1,0,1,5
1,1,0,2,0
1,1,0,2,1
1,1,0,2,3
1,1,0,3,2
1,1,0,3,3
1,1,0,3,4
1,1,0,4,2
1,1,0,4,3
1,1,0,4,4
1,1,0,4,5
1,1,8,1,2
1,1,8,3,2
3,3,14,1,2
3,3,14,3,2
3,3,14,4,1
3,3,14,4,3
2,3,21,2,3
2,3,21,4,1
1,1,0,3,1
6,1,24,2,1
6,1,24,3,2
6,1,24,3,4
4,4,13,2,3
4,4,13,3,1
